1,ChangeInsulationRValueForExteriorWalls,r_value,4.3,5.61
2,ChangeInsulationRValueForRoofs,r_value_roof,12.3,15.53
3,ChangeUValueandSHGCOfWindows,window_u_value_ip,0.56,0.62
4,ChangeUValueandSHGCOfWindows,window_shgc,0.41,0.62
5,ReplaceLightsInSpaceTypeWithLPD,lpd,8.6111283334,22.6042118751
6,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.3,1.7
7,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.3,1.7
8,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.7,0.8
9,AddOverhangsByProjectionFactor,projection_factor,0.0,0.5
10,ChangeOutdoorAir,design_spec_outdoor_air_per_person,14.0,26.0
11,ResizeExistingWindowsToMatchAGivenWWR,wwr,0.16,0.24
12,ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,-60.0,0.0
