8A,ChangeInsulationRValueForExteriorWalls,r_value,0.0009411250642140794,0.0029382938106652817,0.0012395046708444878,0.00010435431150624369
8A,ChangeInsulationRValueForRoofs,r_value_roof,-0.0002815771146197751,0.003140509670159612,0.0009943896404511156,9.175075934237412e-05
8A,ChangeUValueandSHGCOfWindows,window_u_value_ip,-1.0217002786418806e-05,0.0001211079983741235,2.381232128504629e-06,2.154239088103733e-07
8A,ChangeUValueandSHGCOfWindows,window_shgc,0.002189983103608834,0.004001154845403067,0.0021045546972569937,0.00017422377638807272
8A,ReplaceLightsInSpaceTypeWithLPD,lpd,0.33091266935985875,0.04713558957493354,0.33252788357803614,0.029293080784934377
8A,SetHeatingandCoolingSizingFactors,htg_sz_factor,0.002686857494142166,0.003465562306030044,0.0019031902899438108,0.00016999875655073513
8A,SetHeatingandCoolingSizingFactors,clg_sz_factor,0.16615057791913312,0.033636778575598145,0.1688736178954088,0.01283984159867693
8A,SetWaterHeaterEfficiency,heater_thermal_efficiency,6.433194551657294e-06,4.739147751191845e-05,4.1645319595878195e-07,3.2727141466263534e-08
8A,AddOverhangsByProjectionFactor,projection_factor,0.0077333918005326185,0.006931197431020479,0.007900221731838603,0.0006296004690129721
8A,ChangeOutdoorAir,design_spec_outdoor_air_per_person,0.007797407656819621,0.007492233096920961,0.006197412960648294,0.0004967833280361422
8A,ResizeExistingWindowsToMatchAGivenWWR,wwr,0.0004943901305255082,0.0017435870435249514,0.0003812559039535055,3.376838871924491e-05
8A,ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,0.48219033111738796,0.05443988430642232,0.48559331404649675,0.0366948085820232
