1,3C,3.0314285714285716,8.88,0.7614285714285715,0.54,14.608164136985714,1.3,1.7,0.8,0.2142857142857143,19.142857142857142,0.24,0.0,0,173.65643835807924
2,3C,3.0314285714285716,8.88,0.7614285714285715,0.54,14.608164136985714,1.3,1.7,0.8,0.2142857142857143,26.0,0.24,0.0,0,175.143403260276
3,3C,3.0314285714285716,8.88,0.7614285714285715,0.54,22.6042118751,1.3,1.7,0.8,0.2142857142857143,26.0,0.24,0.0,0,189.39602212039443
4,3C,3.0314285714285716,8.88,0.7614285714285715,0.54,22.6042118751,1.3,1.7,0.8,0.5,26.0,0.24,0.0,0,187.83282624510394
5,3C,4.3,8.88,0.7614285714285715,0.54,22.6042118751,1.3,1.7,0.8,0.5,26.0,0.24,0.0,0,185.95186958543678
6,3C,4.3,10.834285714285715,0.7614285714285715,0.54,22.6042118751,1.3,1.7,0.8,0.5,26.0,0.24,0.0,0,184.72112208086554
7,3C,4.3,10.834285714285715,0.7614285714285715,0.54,22.6042118751,1.3,1.4714285714285715,0.8,0.5,26.0,0.24,0.0,0,173.68673865159786
8,3C,4.3,10.834285714285715,0.7614285714285715,0.54,22.6042118751,1.3,1.4714285714285715,0.8,0.5,26.0,0.24,-34.285714285714285,0,191.67512451708643
9,3C,4.3,10.834285714285715,0.7614285714285715,0.54,22.6042118751,1.3,1.4714285714285715,0.8,0.5,26.0,0.19428571428571428,-34.285714285714285,0,191.19309681218323
10,3C,4.3,10.834285714285715,0.7614285714285715,0.54,22.6042118751,1.5285714285714285,1.4714285714285715,0.8,0.5,26.0,0.19428571428571428,-34.285714285714285,0,192.42796013236324
11,3C,4.3,10.834285714285715,0.7614285714285715,0.5857142857142857,22.6042118751,1.5285714285714285,1.4714285714285715,0.8,0.5,26.0,0.19428571428571428,-34.285714285714285,0,192.48039164226833
12,3C,4.3,10.834285714285715,0.7614285714285715,0.5857142857142857,22.6042118751,1.5285714285714285,1.4714285714285715,0.7428571428571429,0.5,26.0,0.19428571428571428,-34.285714285714285,0,192.54309872274638
13,3C,4.3,10.834285714285715,1.03,0.5857142857142857,22.6042118751,1.5285714285714285,1.4714285714285715,0.7428571428571429,0.5,26.0,0.19428571428571428,-34.285714285714285,0,194.69967072681487
14,3C,2.08,12.3,1.03,0.62,14.608164136985714,1.3,1.7,0.7,0.2142857142857143,20.857142857142858,0.2057142857142857,-25.714285714285715,0,188.77292210315971
15,3C,2.08,10.345714285714287,1.03,0.62,14.608164136985714,1.3,1.7,0.7,0.2142857142857143,20.857142857142858,0.2057142857142857,-25.714285714285715,0,190.00366960771674
16,3C,2.08,10.345714285714287,1.03,0.62,14.608164136985714,1.3,1.7,0.7,0.2142857142857143,20.857142857142858,0.16,-25.714285714285715,0,189.52164190286766
17,3C,2.08,10.345714285714287,1.03,0.62,14.608164136985714,1.3,1.7,0.7571428571428571,0.2142857142857143,20.857142857142858,0.16,-25.714285714285715,0,189.45893482235277
18,3C,2.08,10.345714285714287,1.03,0.62,14.608164136985714,1.3,1.7,0.7571428571428571,0.5,20.857142857142858,0.16,-25.714285714285715,0,187.89573894704716
19,3C,2.08,10.345714285714287,1.03,0.62,14.608164136985714,1.3,1.7,0.7571428571428571,0.5,20.857142857142858,0.16,-60.0,0,205.88412481246172
20,3C,2.08,10.345714285714287,1.03,0.62,14.608164136985714,1.3,1.4714285714285715,0.7571428571428571,0.5,20.857142857142858,0.16,-60.0,0,194.84974138328147
21,3C,2.08,10.345714285714287,1.03,0.62,22.6042118751,1.3,1.4714285714285715,0.7571428571428571,0.5,20.857142857142858,0.16,-60.0,0,209.1023602433815
22,3C,2.08,10.345714285714287,1.03,0.62,22.6042118751,1.3,1.4714285714285715,0.7571428571428571,0.5,14.0,0.16,-60.0,0,207.6153953412899
23,3C,2.08,10.345714285714287,1.03,0.62,22.6042118751,1.5285714285714285,1.4714285714285715,0.7571428571428571,0.5,14.0,0.16,-60.0,0,208.8502586613326
24,3C,3.3485714285714288,10.345714285714287,1.03,0.62,22.6042118751,1.5285714285714285,1.4714285714285715,0.7571428571428571,0.5,14.0,0.16,-60.0,0,206.96930200161108
25,3C,3.3485714285714288,10.345714285714287,1.03,0.5742857142857143,22.6042118751,1.5285714285714285,1.4714285714285715,0.7571428571428571,0.5,14.0,0.16,-60.0,0,206.91687049175692
26,3C,3.3485714285714288,10.345714285714287,0.7614285714285715,0.5742857142857143,22.6042118751,1.5285714285714285,1.4714285714285715,0.7571428571428571,0.5,14.0,0.16,-60.0,0,204.76029848772163
27,3C,3.0314285714285716,10.834285714285715,0.8285714285714285,0.54,22.6042118751,1.7,1.5285714285714285,0.8,0.2142857142857143,20.857142857142858,0.16,0.0,0,180.63086869490706
28,3C,3.0314285714285716,10.834285714285715,0.8285714285714285,0.54,22.6042118751,1.7,1.3,0.8,0.2142857142857143,20.857142857142858,0.16,0.0,0,169.5964852656271
29,3C,3.0314285714285716,10.834285714285715,0.8285714285714285,0.54,22.6042118751,1.7,1.3,0.8,0.2142857142857143,14.0,0.16,0.0,0,168.10952036343969
30,3C,3.0314285714285716,10.834285714285715,0.56,0.54,22.6042118751,1.7,1.3,0.8,0.2142857142857143,14.0,0.16,0.0,0,165.95294835940132
31,3C,4.3,10.834285714285715,0.56,0.54,22.6042118751,1.7,1.3,0.8,0.2142857142857143,14.0,0.16,0.0,0,164.07199169972233
32,3C,4.3,8.88,0.56,0.54,22.6042118751,1.7,1.3,0.8,0.2142857142857143,14.0,0.16,0.0,0,165.30273920430483
